Sales Date,Business Unit,Discount_amount,promos
2020-06-07,Surface Pro,306,1
2020-06-08,Surface Pro,306,1
2020-06-09,Surface Pro,306,1
2020-06-10,Surface Pro,306,1
2020-06-11,Surface Pro,306,1
2020-06-12,Surface Pro,306,1
2020-06-13,Surface Pro,306,1
2020-06-14,Surface Pro,306,1
2020-06-15,Surface Pro,306,1
2020-06-16,Surface Pro,306,1
2020-06-17,Surface Pro,306,1
2020-06-18,Surface Pro,306,1
2020-06-19,Surface Pro,306,1
2020-06-20,Surface Pro,306,1
2020-06-21,Surface Pro,306,1
2020-06-22,Surface Pro,306,1
2020-06-23,Surface Pro,306,1
2020-06-24,Surface Pro,306,1
2020-06-25,Surface Pro,306,1
2020-06-26,Surface Pro,306,1
2020-06-27,Surface Pro,306,1
2020-06-28,Surface Pro,306,1
2020-06-29,Surface Pro,306,1
2020-06-30,Surface Pro,306,1
2020-01-01,Surface Laptop,208,2
2020-01-02,Surface Laptop,208,2
2020-01-03,Surface Laptop,208,2
2020-01-04,Surface Laptop,208,2
2020-01-05,Surface Laptop,208,2
2020-01-06,Surface Laptop,208,2
2020-01-07,Surface Laptop,208,2
2020-01-08,Surface Laptop,208,2
2020-01-09,Surface Laptop,208,2
2020-01-10,Surface Laptop,208,2
2020-01-11,Surface Laptop,208,2
2020-01-12,Surface Laptop,208,2
2020-01-13,Surface Laptop,208,2
2020-01-14,Surface Laptop,208,2
2020-01-15,Surface Laptop,208,2
2020-01-16,Surface Laptop,208,2
2020-01-17,Surface Laptop,208,2
2020-01-18,Surface Laptop,208,2
2020-01-19,Surface Laptop,208,2
2020-01-20,Surface Laptop,208,2
2020-01-21,Surface Laptop,208,2
2020-01-22,Surface Laptop,208,2
2020-01-23,Surface Laptop,208,2
2020-01-24,Surface Laptop,208,2
2020-01-25,Surface Laptop,208,2
2020-01-26,Surface Laptop,208,2
2020-01-27,Surface Laptop,208,2
2020-01-28,Surface Laptop,208,2
2020-01-29,Surface Laptop,208,2
2020-01-30,Surface Laptop,208,2
2020-01-31,Surface Laptop,208,2
2020-02-01,Surface Laptop,260,2
2020-02-02,Surface Laptop,260,2
2020-02-03,Surface Laptop,260,2
2020-02-04,Surface Laptop,260,2
2020-02-05,Surface Laptop,260,2
2020-02-06,Surface Laptop,260,2
2020-02-07,Surface Laptop,260,2
2020-02-08,Surface Laptop,260,2
2020-02-09,Surface Laptop,260,2
2020-02-10,Surface Laptop,260,2
2020-02-11,Surface Laptop,260,2
2020-02-12,Surface Laptop,260,2
2020-02-13,Surface Laptop,260,2
2020-02-14,Surface Laptop,260,2
2020-02-15,Surface Laptop,260,2
2020-02-16,Surface Laptop,260,2
2020-02-17,Surface Laptop,260,2
2020-02-18,Surface Laptop,260,2
2020-02-19,Surface Laptop,260,2
2020-02-20,Surface Laptop,260,2
2020-02-21,Surface Laptop,260,2
2020-02-22,Surface Laptop,260,2
2020-02-23,Surface Laptop,260,2
2020-02-24,Surface Laptop,260,2
